127.0.0.1 - - [28/May/2021:10:23:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2021:10:47:27 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:47:27 +0530] "GET /Customer/style.css HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [28/May/2021:10:47:27 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:48:10 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:48:10 +0530] "GET /Customer/style.css HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [28/May/2021:10:48:10 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:48:34 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:48:34 +0530] "GET /Customer/style.css HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [28/May/2021:10:48:34 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:49:08 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:49:08 +0530] "GET /Customer/style.css HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [28/May/2021:10:49:08 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:50:14 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:50:14 +0530] "GET /Customer/style.css HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [28/May/2021:10:50:14 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:51:25 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:51:25 +0530] "GET /Customer/style.css HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [28/May/2021:10:51:25 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:53:46 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:53:46 +0530] "GET /Customer/style.css HTTP/1.1" 200 2648
0:0:0:0:0:0:0:1 - - [28/May/2021:10:53:46 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:53:57 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:53:57 +0530] "GET /Customer/style.css HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [28/May/2021:10:53:57 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:54:18 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:54:18 +0530] "GET /Customer/style.css HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [28/May/2021:10:54:18 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:57:51 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:57:51 +0530] "GET /Customer/style.css HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [28/May/2021:10:57:51 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:21 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:21 +0530] "GET /Customer/style.css HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:21 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:32 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:32 +0530] "GET /Customer/style.css HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:32 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:56 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:56 +0530] "GET /Customer/style.css HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [28/May/2021:10:58:56 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:59:25 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:59:25 +0530] "GET /Customer/style.css HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [28/May/2021:10:59:25 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:10:59:59 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:10:59:59 +0530] "GET /Customer/style.css HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [28/May/2021:10:59:59 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:15 +0530] "POST /Customer/log HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:15 +0530] "GET /Customer/style.css HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:15 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:41 +0530] "POST /Customer/log HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:41 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:41 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:54 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:54 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:54 +0530] "GET /Customer/images/pic3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:00:54 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:20 +0530] "POST /Customer/log HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:20 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:27 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:27 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:27 +0530] "GET /Customer/images/pic3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:27 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:41 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:41 +0530] "GET /Customer/style.css HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:41 +0530] "GET /Customer/images/pic3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:42 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:52 +0530] "POST /Customer/log HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:52 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:01:57 +0530] "GET /Customer/updatecustomer.jsp?id=5&name=kamal&email=kamal%40gmail.com&phone=0738463586&uname=cid002&pass=kamal123 HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:06 +0530] "POST /Customer/update HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:06 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:13 +0530] "GET /Customer/deletecustomer.jsp?id=5&name=kamal+gamage&email=kamal%40gmail.com&phone=0738463586&uname=cid002&pass=kamal123 HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:16 +0530] "POST /Customer/delete HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:19 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:19 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:26 +0530] "POST /Customer/log HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:36 +0530] "POST /Customer/log HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [28/May/2021:11:02:36 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:21 +0530] "POST /Customer/log HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:21 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:25 +0530] "POST /Customer/log HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:29 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:30 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:36 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:36 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:36 +0530] "GET /Customer/images/pic3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:36 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:43 +0530] "POST /Customer/log HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:48 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:48 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:03:54 +0530] "POST /Customer/log HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:00 +0530] "GET /Customer/deletecustomer.jsp?id=8&name=kamal&email=kamal%40gmail.com&phone=0738463586&uname=cid002&pass=kamal123 HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:02 +0530] "POST /Customer/delete HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:04 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:07 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:15 +0530] "POST /Customer/log HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:15 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:29 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:29 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:29 +0530] "GET /Customer/images/pic3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:29 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:30 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:30 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:30 +0530] "GET /Customer/images/pic3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:30 +0530] "GET /Customer/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:34 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:34 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:40 +0530] "POST /Customer/log HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:40 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:50 +0530] "GET /Customer/updatecustomer.jsp?id=11&name=kamal&email=kamal%40gmail.com&phone=0738463586&uname=cid002&pass=kamal123 HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [28/May/2021:11:04:57 +0530] "POST /Customer/update HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [28/May/2021:11:05:00 +0530] "GET /Customer/deletecustomer.jsp?id=11&name=kamal+gamage&email=kamal%40gmail.com&phone=0738463586&uname=cid002&pass=kamal123 HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [28/May/2021:11:05:03 +0530] "POST /Customer/delete HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:11:05:05 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:12:24:27 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:12:24:27 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:12:24:27 +0530] "GET /Customer/images/pic3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:12:24:28 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:12:24:44 +0530] "POST /Customer/log HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [28/May/2021:12:24:50 +0530] "GET /Customer/updatecustomer.jsp?id=14&name=kamal&email=kamal%40gmail.com&phone=0738463586&uname=cid002&pass=kamal123 HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:07 +0530] "POST /Customer/update HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:19 +0530] "POST /Customer/update HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:23 +0530] "POST /Customer/update HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:25 +0530] "GET /Customer/deletecustomer.jsp?id=14&name=kamal&email=kamal%40gmail.com&phone=0738463586&uname=cid002&pass=kamal123 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:28 +0530] "POST /Customer/delete HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:33 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:38 +0530] "GET /Customer/customerinsert.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:50 +0530] "POST /Customer/insert HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:52 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:12:25:57 +0530] "POST /Customer/log HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [28/May/2021:12:26:01 +0530] "GET /Customer/updatecustomer.jsp?id=52&name=a&email=a&phone=a&uname=a&pass=1 HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [28/May/2021:12:26:05 +0530] "POST /Customer/update HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [28/May/2021:12:26:11 +0530] "GET /Customer/updatecustomer.jsp?id=52&name=adssddsfdsfd&email=a&phone=a&uname=a&pass=1 HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [28/May/2021:12:26:46 +0530] "POST /Customer/update HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [28/May/2021:12:26:48 +0530] "GET /Customer/deletecustomer.jsp?id=52&name=kushan&email=gunawardana%40gmal.con&phone=0763635367&uname=a&pass=1 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [28/May/2021:12:26:51 +0530] "POST /Customer/delete HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:12:26:52 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:12:26:57 +0530] "POST /Customer/log HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [28/May/2021:12:27:03 +0530] "GET /Customer/login.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [28/May/2021:12:34:11 +0530] "GET /Customer/customerinsert.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:12:34:11 +0530] "GET /Customer/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:12:34:24 +0530] "GET /Customer/customerinsert.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:12:35:15 +0530] "GET /Customer/customerinsert.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:12:35:30 +0530] "GET /Customer/customerinsert.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [28/May/2021:12:38:39 +0530] "POST /Customer/log HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [28/May/2021:12:38:46 +0530] "GET /Customer/updatecustomer.jsp?id=17&name=kamal&email=kamal%40gmail.com&phone=0738463586&uname=cid002&pass=kamal123 HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [28/May/2021:12:38:55 +0530] "POST /Customer/update HTTP/1.1" 200 1140
